step,step_time_s,total_time_s,ALLKE,ALLIE,ALLAE,ALLVD,ALLKE_over_abs_ALLIE
Insertion,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Insertion,0.0008339693304151297,0.0008339693304151297,4.587204747996676e-12,0.0,0.0,0.0,4.5872047479966756e+18
Insertion,0.0016669674078002572,0.0016669674078002572,6.130056184883159e-11,0.0,0.0,0.0,6.130056184883159e+19
Insertion,0.002500973641872406,0.002500973641872406,2.5781649037881493e-10,0.0,0.0,0.0,2.578164903788149e+20
Insertion,0.0033339799847453833,0.0033339799847453833,6.698818721950772e-10,0.0,0.0,0.0,6.698818721950771e+20
Insertion,0.0041669257916510105,0.0041669257916510105,1.3315051283768753e-09,0.0,0.0,0.0,1.331505128376875e+21
Insertion,0.005000737961381674,0.005000737961381674,2.2245121300557003e-09,0.0,0.0,0.0,2.2245121300557e+21
Insertion,0.005833550356328487,0.005833550356328487,3.2778919578646537e-09,0.0,0.0,0.0,3.2778919578646537e+21
Insertion,0.006667362526059151,0.006667362526059151,4.388329255533563e-09,0.0,0.0,0.0,4.3883292555335623e+21
Insertion,0.007500174921005964,0.007500174921005964,5.42900568945015e-09,0.0,0.0,0.0,5.42900568945015e+21
Insertion,0.008334229700267315,0.008334229700267315,6.279630149208515e-09,0.0,0.0,0.0,6.279630149208515e+21
Insertion,0.009167429991066456,0.009167429991066456,6.834946830736044e-09,0.0,0.0,0.0,6.834946830736043e+21
Insertion,0.010000630281865597,0.010000630281865597,7.0277956787379026e-09,0.0,0.0,0.0,7.027795678737902e+21
Insertion,0.010833830572664738,0.010833830572664738,6.8343677384063994e-09,0.0,0.0,0.0,6.834367738406399e+21
Insertion,0.011667030863463879,0.011667030863463879,6.278545239268851e-09,0.0,0.0,0.0,6.278545239268851e+21
Insertion,0.01250023115426302,0.01250023115426302,5.428535398976919e-09,0.0,0.0,0.0,5.428535398976919e+21
Insertion,0.01333343144506216,0.01333343144506216,4.387276320017008e-09,0.0,0.0,0.0,4.3872763200170083e+21
Insertion,0.014167631976306438,0.014167631976306438,3.2763309842920307e-09,0.0,0.0,0.0,3.2763309842920306e+21
Insertion,0.01500083226710558,0.01500083226710558,2.222649397864984e-09,0.0,0.0,0.0,2.222649397864984e+21
Insertion,0.015834031626582146,0.015834031626582146,1.3306076240837683e-09,0.0,0.0,0.0,1.330607624083768e+21
Insertion,0.016667231917381287,0.016667231917381287,6.691034948325125e-10,0.0,0.0,0.0,6.691034948325124e+20
Insertion,0.017500432208180428,0.017500432208180428,2.573179724851826e-10,0.0,0.0,0.0,2.573179724851826e+20
Insertion,0.01833363249897957,0.01833363249897957,6.12192449511717e-11,0.0,0.0,0.0,6.1219244951171695e+19
Insertion,0.01916683278977871,0.01916683278977871,4.570805539616529e-12,0.0,0.0,0.0,4.570805539616529e+18
Insertion,0.02000003308057785,0.02000003308057785,7.77655459618578e-28,0.0,0.0,0.0,777.6554596185779
Insertion,0.02083423361182213,0.02083423361182213,3.2132741020936273e-13,0.0,0.0,0.0,3.213274102093627e+17
Insertion,0.02166743390262127,0.02166743390262127,4.915984719994215e-12,0.0,0.0,0.0,4.915984719994214e+18
Insertion,0.02250063419342041,0.02250063419342041,2.382538090428543e-11,0.0,0.0,0.0,2.382538090428543e+19
Insertion,0.02333383448421955,0.02333383448421955,7.208381114232054e-11,0.0,0.0,0.0,7.208381114232054e+19
Insertion,0.024167034775018692,0.024167034775018692,1.6841750216656237e-10,0.0,0.0,0.0,1.6841750216656237e+20
Insertion,0.025000235065817833,0.025000235065817833,3.340778209626194e-10,0.0,0.0,0.0,3.340778209626194e+20
Insertion,0.025833435356616974,0.025833435356616974,5.918023293638441e-10,0.0,0.0,0.0,5.91802329363844e+20
Insertion,0.026667635887861252,0.026667635887861252,9.65420632326186e-10,0.0,0.0,0.0,9.65420632326186e+20
Insertion,0.027500836178660393,0.027500836178660393,1.4771245337996675e-09,0.0,0.0,0.0,1.4771245337996674e+21
Insertion,0.028334036469459534,0.028334036469459534,2.149412203777956e-09,0.0,0.0,0.0,2.149412203777956e+21
Insertion,0.029167236760258675,0.029167236760258675,3.0028721731412134e-09,0.0,0.0,0.0,3.0028721731412133e+21
Insertion,0.030000437051057816,0.030000437051057816,4.056051938761129e-09,0.0,0.0,0.0,4.056051938761129e+21
Insertion,0.030833637341856956,0.030833637341856956,5.3250448495134606e-09,0.0,0.0,0.0,5.32504484951346e+21
Insertion,0.031667061150074005,0.031667061150074005,6.8235865846588695e-09,0.0,0.0,0.0,6.823586584658869e+21
Insertion,0.03250070661306381,0.03250070661306381,8.562127007394338e-09,0.0,0.0,0.0,8.562127007394338e+21
Insertion,0.03333335369825363,0.03333335369825363,1.054480147644199e-08,0.0,0.0,0.0,1.054480147644199e+22
Insertion,0.03416699916124344,0.03416699916124344,1.2780042801807667e-08,0.0,0.0,0.0,1.2780042801807666e+22
Insertion,0.035000644624233246,0.035000644624233246,1.5265893438254352e-08,0.0,0.0,0.0,1.5265893438254351e+22
Insertion,0.03583429008722305,0.03583429008722305,1.7999187917894233e-08,0.0,0.0,0.0,1.7999187917894232e+22
Insertion,0.03666693717241287,0.03666693717241287,2.0969666891801353e-08,0.0,0.0,0.0,2.0969666891801352e+22
Insertion,0.03750058263540268,0.03750058263540268,2.417464806114822e-08,0.0,0.0,0.0,2.417464806114822e+22
Insertion,0.03833422809839249,0.03833422809839249,2.7597742757734522e-08,0.0,0.0,0.0,2.759774275773452e+22
Insertion,0.039166875183582306,0.039166875183582306,3.1218515772479805e-08,0.0,0.0,0.0,3.12185157724798e+22
Insertion,0.04000052064657211,0.04000052064657211,3.502688628032047e-08,0.0,0.0,0.0,3.5026886280320465e+22
Insertion,0.04083416610956192,0.04083416610956192,3.899732803347433e-08,0.0,0.0,0.0,3.899732803347433e+22
Insertion,0.04166681319475174,0.04166681319475174,4.3101206159690264e-08,0.0,0.0,0.0,4.310120615969026e+22
Insertion,0.04250045865774155,0.04250045865774155,4.732268266138817e-08,0.0,0.0,0.0,4.732268266138816e+22
Insertion,0.043334104120731354,0.043334104120731354,5.162951310921926e-08,0.0,0.0,0.0,5.162951310921926e+22
Insertion,0.04416675120592117,0.04416675120592117,5.598748487045668e-08,0.0,0.0,0.0,5.598748487045668e+22
Insertion,0.04500039666891098,0.04500039666891098,6.037707578343543e-08,0.0,0.0,0.0,6.037707578343542e+22
Insertion,0.04583404213190079,0.04583404213190079,6.476221869888832e-08,0.0,0.0,0.0,6.476221869888832e+22
Insertion,0.04666668921709061,0.04666668921709061,6.910614303023976e-08,0.0,0.0,0.0,6.910614303023976e+22
Insertion,0.047500334680080414,0.047500334680080414,7.338790908306692e-08,0.0,0.0,0.0,7.338790908306691e+22
Insertion,0.04833398014307022,0.04833398014307022,7.757051179169139e-08,0.0,0.0,0.0,7.757051179169139e+22
Insertion,0.04916762560606003,0.04916762560606003,8.162295017655197e-08,0.0,0.0,0.0,8.162295017655196e+22
Insertion,0.05000027269124985,0.05000027269124985,8.55102086916304e-08,0.0,0.0,0.0,8.551020869163038e+22
Insertion,0.050833918154239655,0.050833918154239655,8.921203686895751e-08,0.0,0.0,0.0,8.921203686895751e+22
Insertion,0.051666803658008575,0.051666803658008575,9.594804595280948e-08,1.0333197764111901e-07,2.387380781954107e-08,1.1028674501423197e-10,0.9285416590597485
Insertion,0.05250087380409241,0.05250087380409241,1.543945131743385e-07,4.589888249029173e-06,6.280462798713415e-07,2.711085578255279e-09,0.033637967810435286
Insertion,0.05333395674824715,0.05333395674824715,2.1791690585359902e-07,1.8480353901395574e-05,4.472119599086e-06,8.344413515715132e-08,0.011791814540799604
Insertion,0.054167240858078,0.054167240858078,5.720128228858812e-07,2.7151652830070816e-05,1.4012136489327531e-05,2.2243737873850478e-07,0.021067329730010742
Insertion,0.05500034615397453,0.05500034615397453,5.565615879277175e-07,5.300497650750913e-05,1.753866126819048e-05,2.2544068656316085e-07,0.010500176107971113
Insertion,0.05583345144987106,0.05583345144987106,2.201946358582063e-07,9.279972437070683e-05,2.25814146688208e-05,2.3748812338908465e-07,0.002372794071872405
Insertion,0.05666691064834595,0.05666691064834595,3.719100050147972e-07,0.0001448385010007769,3.06821966660209e-05,2.399448248979752e-07,0.0025677565180877034
Insertion,0.057500209659338,0.057500209659338,1.6819803931866772e-06,0.00015810044715180993,4.973648537998088e-05,8.289886181955808e-07,0.010638682075146946
Insertion,0.05833355709910393,0.05833355709910393,3.805366191045323e-07,0.00022482391796074808,5.982716174912639e-05,8.391071446567366e-07,0.001692598467975147
Insertion,0.05916668847203255,0.05916668847203255,5.835091201333853e-07,0.00030327404965646565,7.469932461390272e-05,8.48209822379431e-07,0.0019240324742402343
Insertion,0.060000307857990265,0.060000307857990265,1.4437949857892818e-06,0.0003518438898026943,8.751120185479522e-05,1.3850759614797425e-06,0.0041035101862900835
Insertion,0.060833655297756195,0.060833655297756195,5.484995426741079e-07,0.0004523458192124963,0.00010104913963004947,1.452304331905907e-06,0.001212566844607979
Insertion,0.061667006462812424,0.061667006462812424,2.676255235201097e-06,0.0005417221691459417,0.00011409256694605574,1.8210050711786607e-06,0.004940272685203889
Insertion,0.0625007376074791,0.0625007376074791,2.501408062016708e-06,0.0006778626702725887,0.00013467569078784436,1.8249648974233423e-06,0.0036901398641863807
Insertion,0.06333355605602264,0.06333355605602264,5.560002023230481e-07,0.0008216129499487579,0.00015559019811917096,1.8406956314720446e-06,0.0006767179148743026
Insertion,0.06416690349578857,0.06416690349578857,1.0691064744605683e-06,0.0009209314594045281,0.00016266602324321866,2.5225087938451907e-06,0.001160896897964426
Insertion,0.0650007426738739,0.0650007426738739,1.4533654848492006e-06,0.0010441431077197194,0.00017578589904587716,3.1087665774975903e-06,0.0013919217338159448
Insertion,0.06583385914564133,0.06583385914564133,5.807981438010756e-07,0.0012256151530891657,0.00019013580458704382,3.2531363558518933e-06,0.00047388296590261035
Insertion,0.06666703522205353,0.06666703522205353,1.1903741778951371e-06,0.0012975800782442093,0.00019754329696297646,4.747546427097404e-06,0.0009173801277111657
Insertion,0.06750006228685379,0.06750006228685379,1.3656808732775971e-06,0.0015112258261069655,0.0002131080109393224,4.87822308059549e-06,0.0009036907983472573
Insertion,0.06833343952894211,0.06833343952894211,1.3622857295558788e-06,0.0017377762123942375,0.00022882675693836063,5.016408977098763e-06,0.0007839247193279144
Insertion,0.06916729360818863,0.06916729360818863,1.3217365903983591e-06,0.001979419030249119,0.0002456938964314759,5.2851396503683645e-06,0.0006677396600718811
Insertion,0.07000003010034561,0.07000003010034561,5.524076982510451e-07,0.0022214592900127172,0.0002649205271154642,5.465270078275353e-06,0.0002486688370723565
Insertion,0.07083398848772049,0.07083398848772049,4.905278387923317e-07,0.0024952543899416924,0.00028174006729386747,5.8364798860566225e-06,0.00019658430049041779
Insertion,0.0716668888926506,0.0716668888926506,5.562649789681018e-07,0.002756796544417739,0.0002994457900058478,6.482113803940592e-06,0.00020177948209289785
Insertion,0.0725005567073822,0.0725005567073822,9.084948260351666e-07,0.003015553578734398,0.0003069274825975299,7.752852070552763e-06,0.0003012696681769634
Insertion,0.07333344221115112,0.07333344221115112,8.315267336911347e-07,0.0033519286662340164,0.0003233893366996199,7.767565875838045e-06,0.0002480741138878047
Insertion,0.07416684180498123,0.07416684180498123,3.5552295685192803e-07,0.0036904250737279654,0.00034109086846001446,7.931284926598892e-06,9.633658718148384e-05
Insertion,0.07500011473894119,0.07500011473894119,5.53784786916367e-07,0.004045119509100914,0.000362429884262383,7.939463102957234e-06,0.00013690195942800553
Insertion,0.07583333551883698,0.07583333551883698,9.410022698830289e-07,0.00436497014015913,0.00039605129859410226,8.13133465271676e-06,0.00021558045981242923
