step,step_time_s,total_time_s,rp_u3_mm,rp_rf3_N,insertion_depth_mm,pullout_displacement_mm,pullout_resistance_N,absolute_force_N
Insertion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Insertion,0.0006259798537939787,0.0006259798537939787,-2.3392065486405045e-05,-8.522235361851926e-08,2.3392065486405045e-05,0.0,0.0,8.522235361851926e-08
Insertion,0.0012509642401710153,0.0012509642401710153,-0.00017785523959901184,-1.5382664741991903e-07,0.00017785523959901184,0.0,0.0,1.5382664741991903e-07
Insertion,0.0018759689992293715,0.0018759689992293715,-0.0005707812961190939,-2.0706161762973352e-07,0.0005707812961190939,0.0,0.0,2.0706161762973352e-07
Insertion,0.002500973641872406,0.002500973641872406,-0.00128553353715688,-2.460228358813765e-07,0.00128553353715688,0.0,0.0,2.460228358813765e-07
Insertion,0.0031259784009307623,0.0031259784009307623,-0.0023831604048609734,-2.7180846018382e-07,0.0023831604048609734,0.0,0.0,2.7180846018382e-07
Insertion,0.0037509831599891186,0.0037509831599891186,-0.0039041154086589813,-2.8551662012432644e-07,0.0039041154086589813,0.0,0.0,2.8551662012432644e-07
Insertion,0.004375878721475601,0.004375878721475601,-0.005869939923286438,-2.8824587161579984e-07,0.005869939923286438,0.0,0.0,2.8824587161579984e-07
Insertion,0.005000737961381674,0.005000737961381674,-0.008284972980618477,-2.810977832723438e-07,0.008284972980618477,0.0,0.0,2.810977832723438e-07
Insertion,0.005625597201287746,0.005625597201287746,-0.01113817747682333,-2.6517022888583597e-07,0.01113817747682333,0.0,0.0,2.6517022888583597e-07
Insertion,0.006250456441193819,0.006250456441193819,-0.014404811896383762,-2.4156051381396537e-07,0.014404811896383762,0.0,0.0,2.4156051381396537e-07
Insertion,0.006875315681099892,0.006875315681099892,-0.018048133701086044,-2.113660713121135e-07,0.018048133701086044,0.0,0.0,2.113660713121135e-07
Insertion,0.007500174921005964,0.007500174921005964,-0.022021053358912468,-1.7568402199685806e-07,0.022021053358912468,0.0,0.0,1.7568402199685806e-07
Insertion,0.008125179447233677,0.008125179447233677,-0.026267996057868004,-1.356022920617761e-07,0.026267996057868004,0.0,0.0,1.356022920617761e-07
Insertion,0.008750329725444317,0.008750329725444317,-0.03072652965784073,-9.221608365805878e-08,0.03072652965784073,0.0,0.0,9.221608365805878e-08
Insertion,0.009375480003654957,0.009375480003654957,-0.035328954458236694,-4.663328567744429e-08,0.035328954458236694,0.0,0.0,4.663328567744429e-08
Insertion,0.010000630281865597,0.010000630281865597,-0.04000411927700043,4.7281959597578194e-11,0.04000411927700043,0.0,0.0,4.7281959597578194e-11
Insertion,0.010625780560076237,0.010625780560076237,-0.04467923939228058,4.6726746916192496e-08,0.04467923939228058,0.0,0.0,4.6726746916192496e-08
Insertion,0.011250930838286877,0.011250930838286877,-0.049281444400548935,9.230626574208145e-08,0.049281444400548935,0.0,0.0,9.230626574208145e-08
Insertion,0.01187508087605238,0.01187508087605238,-0.053732648491859436,1.3561984246734937e-07,0.053732648491859436,0.0,0.0,1.3561984246734937e-07
Insertion,0.01250023115426302,0.01250023115426302,-0.05797947198152542,1.7570884836004552e-07,0.05797947198152542,0.0,0.0,1.7570884836004552e-07
Insertion,0.01312538143247366,0.01312538143247366,-0.0619521290063858,2.1140294848009944e-07,0.0619521290063858,0.0,0.0,2.1140294848009944e-07
Insertion,0.0137505317106843,0.0137505317106843,-0.06559493392705917,2.4160328848665813e-07,0.06559493392705917,0.0,0.0,2.4160328848665813e-07
Insertion,0.01437568198889494,0.01437568198889494,-0.06886084377765656,2.6521107088228746e-07,0.06886084377765656,0.0,0.0,2.6521107088228746e-07
Insertion,0.01500083226710558,0.01500083226710558,-0.07171308994293213,2.811272281633137e-07,0.07171308994293213,0.0,0.0,2.811272281633137e-07
Insertion,0.015625981613993645,0.015625981613993645,-0.07412689924240112,2.882524654523877e-07,0.07412689924240112,0.0,0.0,2.882524654523877e-07
Insertion,0.016250131651759148,0.016250131651759148,-0.07608851790428162,2.855022955827735e-07,0.07608851790428162,0.0,0.0,2.855022955827735e-07
Insertion,0.016875281929969788,0.016875281929969788,-0.07760864496231079,2.7176918138138717e-07,0.07760864496231079,0.0,0.0,2.7176918138138717e-07
Insertion,0.017500432208180428,0.017500432208180428,-0.07870543748140335,2.459503889440384e-07,0.07870543748140335,0.0,0.0,2.459503889440384e-07
Insertion,0.018125582486391068,0.018125582486391068,-0.07941935956478119,2.0694766078577231e-07,0.07941935956478119,0.0,0.0,2.0694766078577231e-07
